Interval Time,Interval Number,Resource Code,Interval Value
2025-06-20 07:14:59,29,LEON_CRK_LCPCT4,0.0
2025-06-20 07:29:59,30,LEON_CRK_LCPCT4,0.0
2025-06-20 07:44:59,31,LEON_CRK_LCPCT4,0.0
2025-06-20 07:59:59,32,LEON_CRK_LCPCT4,0.0
2025-06-20 08:14:59,33,LEON_CRK_LCPCT4,0.0
2025-06-20 08:29:59,34,LEON_CRK_LCPCT4,0.0
2025-06-20 08:44:59,35,LEON_CRK_LCPCT4,0.0
2025-06-20 08:59:59,36,LEON_CRK_LCPCT4,0.0
2025-06-20 09:14:59,37,LEON_CRK_LCPCT4,0.0
2025-06-20 09:29:59,38,LEON_CRK_LCPCT4,0.0
2025-06-20 09:44:59,39,LEON_CRK_LCPCT4,0.0
2025-06-20 09:59:59,40,LEON_CRK_LCPCT4,0.0
2025-06-20 10:14:59,41,LEON_CRK_LCPCT4,0.0
2025-06-20 10:29:59,42,LEON_CRK_LCPCT4,0.0
2025-06-20 10:44:59,43,LEON_CRK_LCPCT4,0.0
2025-06-20 10:59:59,44,LEON_CRK_LCPCT4,0.0
2025-06-20 11:14:59,45,LEON_CRK_LCPCT4,0.0
2025-06-20 11:29:59,46,LEON_CRK_LCPCT4,0.0
2025-06-20 11:44:59,47,LEON_CRK_LCPCT4,0.0
2025-06-20 11:59:59,48,LEON_CRK_LCPCT4,0.0
2025-06-20 12:14:59,49,LEON_CRK_LCPCT4,0.0
2025-06-20 12:29:59,50,LEON_CRK_LCPCT4,0.0
2025-06-20 12:44:59,51,LEON_CRK_LCPCT4,0.0
2025-06-20 12:59:59,52,LEON_CRK_LCPCT4,0.0
2025-06-20 13:14:59,53,LEON_CRK_LCPCT4,0.0
2025-06-20 13:29:59,54,LEON_CRK_LCPCT4,0.0
2025-06-20 13:44:59,55,LEON_CRK_LCPCT4,0.0
2025-06-20 13:59:59,56,LEON_CRK_LCPCT4,0.0
2025-06-20 14:14:59,57,LEON_CRK_LCPCT4,0.0
2025-06-20 14:29:59,58,LEON_CRK_LCPCT4,0.0
2025-06-20 14:44:59,59,LEON_CRK_LCPCT4,0.0
2025-06-20 14:59:59,60,LEON_CRK_LCPCT4,0.0
2025-06-20 15:14:59,61,LEON_CRK_LCPCT4,0.0
2025-06-20 15:29:59,62,LEON_CRK_LCPCT4,0.0
2025-06-20 15:44:59,63,LEON_CRK_LCPCT4,0.0
2025-06-20 15:59:59,64,LEON_CRK_LCPCT4,0.0
2025-06-20 16:14:59,65,LEON_CRK_LCPCT4,0.0
2025-06-20 16:29:59,66,LEON_CRK_LCPCT4,0.0
2025-06-20 16:44:59,67,LEON_CRK_LCPCT4,0.0
2025-06-20 16:59:59,68,LEON_CRK_LCPCT4,0.0
2025-06-20 17:14:59,69,LEON_CRK_LCPCT4,0.0
2025-06-20 17:29:59,70,LEON_CRK_LCPCT4,0.0
2025-06-20 17:44:59,71,LEON_CRK_LCPCT4,0.0
2025-06-20 17:59:59,72,LEON_CRK_LCPCT4,0.0
2025-06-20 18:14:59,73,LEON_CRK_LCPCT4,0.0
2025-06-20 18:29:59,74,LEON_CRK_LCPCT4,0.0
2025-06-20 18:44:59,75,LEON_CRK_LCPCT4,0.0
2025-06-20 18:59:59,76,LEON_CRK_LCPCT4,0.0
2025-06-20 19:14:59,77,LEON_CRK_LCPCT4,8.0273109999
2025-06-20 19:29:59,78,LEON_CRK_LCPCT4,11.070846
2025-06-20 19:44:59,79,LEON_CRK_LCPCT4,11.09937
2025-06-20 19:59:59,80,LEON_CRK_LCPCT4,11.118954
2025-06-20 20:14:59,81,LEON_CRK_LCPCT4,11.131121
2025-06-20 20:29:59,82,LEON_CRK_LCPCT4,11.130118
2025-06-20 20:44:59,83,LEON_CRK_LCPCT4,11.155815
2025-06-20 20:59:59,84,LEON_CRK_LCPCT4,11.211179
2025-06-20 21:14:59,85,LEON_CRK_LCPCT4,11.2121619999
2025-06-20 21:29:59,86,LEON_CRK_LCPCT4,11.194405
2025-06-20 21:44:59,87,LEON_CRK_LCPCT4,11.156337
2025-06-20 21:59:59,88,LEON_CRK_LCPCT4,11.107828
2025-06-20 22:14:59,89,LEON_CRK_LCPCT4,11.119508
2025-06-20 22:29:59,90,LEON_CRK_LCPCT4,11.1537489999
2025-06-20 22:44:59,91,LEON_CRK_LCPCT4,11.1534549999
2025-06-20 22:59:59,92,LEON_CRK_LCPCT4,11.132353
2025-06-20 23:14:59,93,LEON_CRK_LCPCT4,11.135191
2025-06-20 23:29:59,94,LEON_CRK_LCPCT4,11.1403529999
2025-06-20 23:44:59,95,LEON_CRK_LCPCT4,9.752121
2025-06-20 23:59:59,96,LEON_CRK_LCPCT4,0.0
2025-06-21 00:14:59,1,LEON_CRK_LCPCT4,0.0
2025-06-21 00:29:59,2,LEON_CRK_LCPCT4,0.0
2025-06-21 00:44:59,3,LEON_CRK_LCPCT4,0.0
2025-06-21 00:59:59,4,LEON_CRK_LCPCT4,0.0
2025-06-21 01:14:59,5,LEON_CRK_LCPCT4,0.0
2025-06-21 01:29:59,6,LEON_CRK_LCPCT4,0.0
2025-06-21 01:44:59,7,LEON_CRK_LCPCT4,0.0
2025-06-21 01:59:59,8,LEON_CRK_LCPCT4,0.0
2025-06-21 02:14:59,9,LEON_CRK_LCPCT4,0.0
2025-06-21 02:29:59,10,LEON_CRK_LCPCT4,0.0
2025-06-21 02:44:59,11,LEON_CRK_LCPCT4,0.0
2025-06-21 02:59:59,12,LEON_CRK_LCPCT4,0.0
2025-06-21 03:14:59,13,LEON_CRK_LCPCT4,0.0
2025-06-21 03:29:59,14,LEON_CRK_LCPCT4,0.0
2025-06-21 03:44:59,15,LEON_CRK_LCPCT4,0.0
2025-06-21 03:59:59,16,LEON_CRK_LCPCT4,0.0
2025-06-21 04:14:59,17,LEON_CRK_LCPCT4,0.0
2025-06-21 04:29:59,18,LEON_CRK_LCPCT4,0.0
2025-06-21 04:44:59,19,LEON_CRK_LCPCT4,0.0
2025-06-21 04:59:59,20,LEON_CRK_LCPCT4,0.0
2025-06-21 05:14:59,21,LEON_CRK_LCPCT4,0.0
2025-06-21 05:29:59,22,LEON_CRK_LCPCT4,0.0
2025-06-21 05:44:59,23,LEON_CRK_LCPCT4,0.0
