Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,ESTONIAN_SOLAR2,0.0
2025-06-17 00:29:59,2,ESTONIAN_SOLAR2,0.0
2025-06-17 00:44:59,3,ESTONIAN_SOLAR2,0.0
2025-06-17 00:59:59,4,ESTONIAN_SOLAR2,0.0
2025-06-17 01:14:59,5,ESTONIAN_SOLAR2,0.0
2025-06-17 01:29:59,6,ESTONIAN_SOLAR2,0.0
2025-06-17 01:44:59,7,ESTONIAN_SOLAR2,0.0
2025-06-17 01:59:59,8,ESTONIAN_SOLAR2,0.0
2025-06-17 02:14:59,9,ESTONIAN_SOLAR2,0.0
2025-06-17 02:29:59,10,ESTONIAN_SOLAR2,0.0
2025-06-17 02:44:59,11,ESTONIAN_SOLAR2,0.0
2025-06-17 02:59:59,12,ESTONIAN_SOLAR2,0.0
2025-06-17 03:14:59,13,ESTONIAN_SOLAR2,0.0
2025-06-17 03:29:59,14,ESTONIAN_SOLAR2,0.0
2025-06-17 03:44:59,15,ESTONIAN_SOLAR2,0.0
2025-06-17 03:59:59,16,ESTONIAN_SOLAR2,0.0
2025-06-17 04:14:59,17,ESTONIAN_SOLAR2,0.0
2025-06-17 04:29:59,18,ESTONIAN_SOLAR2,0.0
2025-06-17 04:44:59,19,ESTONIAN_SOLAR2,0.0
2025-06-17 04:59:59,20,ESTONIAN_SOLAR2,0.0
2025-06-17 05:14:59,21,ESTONIAN_SOLAR2,0.0
2025-06-17 05:29:59,22,ESTONIAN_SOLAR2,0.0
2025-06-17 05:44:59,23,ESTONIAN_SOLAR2,0.0
2025-06-17 05:59:59,24,ESTONIAN_SOLAR2,0.0
2025-06-17 06:14:59,25,ESTONIAN_SOLAR2,0.0
2025-06-17 06:29:59,26,ESTONIAN_SOLAR2,0.0
2025-06-17 06:44:59,27,ESTONIAN_SOLAR2,0.4967119999
2025-06-17 06:59:59,28,ESTONIAN_SOLAR2,2.4982169999
2025-06-17 07:14:59,29,ESTONIAN_SOLAR2,5.074217
2025-06-17 07:29:59,30,ESTONIAN_SOLAR2,8.403387
2025-06-17 07:44:59,31,ESTONIAN_SOLAR2,12.156127
2025-06-17 07:59:59,32,ESTONIAN_SOLAR2,16.014644
2025-06-17 08:14:59,33,ESTONIAN_SOLAR2,19.519497
2025-06-17 08:29:59,34,ESTONIAN_SOLAR2,21.670427
2025-06-17 08:44:59,35,ESTONIAN_SOLAR2,23.384874
2025-06-17 08:59:59,36,ESTONIAN_SOLAR2,24.780698
2025-06-17 09:14:59,37,ESTONIAN_SOLAR2,25.8613409999
2025-06-17 09:29:59,38,ESTONIAN_SOLAR2,26.981627
2025-06-17 09:44:59,39,ESTONIAN_SOLAR2,27.75277
2025-06-17 09:59:59,40,ESTONIAN_SOLAR2,28.288267
2025-06-17 10:14:59,41,ESTONIAN_SOLAR2,28.4561269999
2025-06-17 10:29:59,42,ESTONIAN_SOLAR2,28.5317219999
2025-06-17 10:44:59,43,ESTONIAN_SOLAR2,28.4962589999
2025-06-17 10:59:59,44,ESTONIAN_SOLAR2,28.5080069999
2025-06-17 11:14:59,45,ESTONIAN_SOLAR2,28.5627129999
2025-06-17 11:29:59,46,ESTONIAN_SOLAR2,28.4555669999
2025-06-17 11:44:59,47,ESTONIAN_SOLAR2,28.465098
2025-06-17 11:59:59,48,ESTONIAN_SOLAR2,28.537244
2025-06-17 12:14:59,49,ESTONIAN_SOLAR2,28.590786
2025-06-17 12:29:59,50,ESTONIAN_SOLAR2,28.526136
2025-06-17 12:44:59,51,ESTONIAN_SOLAR2,28.459077
2025-06-17 12:59:59,52,ESTONIAN_SOLAR2,28.5285359999
2025-06-17 13:14:59,53,ESTONIAN_SOLAR2,28.4881719999
2025-06-17 13:29:59,54,ESTONIAN_SOLAR2,28.1428429999
2025-06-17 13:44:59,55,ESTONIAN_SOLAR2,27.7892359999
2025-06-17 13:59:59,56,ESTONIAN_SOLAR2,27.884791
2025-06-17 14:14:59,57,ESTONIAN_SOLAR2,28.425965
2025-06-17 14:29:59,58,ESTONIAN_SOLAR2,28.359473
2025-06-17 14:44:59,59,ESTONIAN_SOLAR2,28.4070819999
2025-06-17 14:59:59,60,ESTONIAN_SOLAR2,28.441552
2025-06-17 15:14:59,61,ESTONIAN_SOLAR2,28.508638
2025-06-17 15:29:59,62,ESTONIAN_SOLAR2,28.4762899999
2025-06-17 15:44:59,63,ESTONIAN_SOLAR2,28.4570189999
2025-06-17 15:59:59,64,ESTONIAN_SOLAR2,28.4876429999
2025-06-17 16:14:59,65,ESTONIAN_SOLAR2,28.5151189999
2025-06-17 16:29:59,66,ESTONIAN_SOLAR2,28.489245
2025-06-17 16:44:59,67,ESTONIAN_SOLAR2,28.4944829999
2025-06-17 16:59:59,68,ESTONIAN_SOLAR2,28.253335
2025-06-17 17:14:59,69,ESTONIAN_SOLAR2,27.733121
2025-06-17 17:29:59,70,ESTONIAN_SOLAR2,27.4516619999
2025-06-17 17:44:59,71,ESTONIAN_SOLAR2,26.570969
2025-06-17 17:59:59,72,ESTONIAN_SOLAR2,25.6291629999
2025-06-17 18:14:59,73,ESTONIAN_SOLAR2,23.9987099999
2025-06-17 18:29:59,74,ESTONIAN_SOLAR2,21.924357
2025-06-17 18:44:59,75,ESTONIAN_SOLAR2,19.4831329999
2025-06-17 18:59:59,76,ESTONIAN_SOLAR2,15.506102
2025-06-17 19:14:59,77,ESTONIAN_SOLAR2,12.462524
2025-06-17 19:29:59,78,ESTONIAN_SOLAR2,8.875754
2025-06-17 19:44:59,79,ESTONIAN_SOLAR2,4.91005
2025-06-17 19:59:59,80,ESTONIAN_SOLAR2,1.513435
2025-06-17 20:14:59,81,ESTONIAN_SOLAR2,0.9594
2025-06-17 20:29:59,82,ESTONIAN_SOLAR2,0.298103
2025-06-17 20:44:59,83,ESTONIAN_SOLAR2,0.0
2025-06-17 20:59:59,84,ESTONIAN_SOLAR2,0.0
2025-06-17 21:14:59,85,ESTONIAN_SOLAR2,0.0
2025-06-17 21:29:59,86,ESTONIAN_SOLAR2,0.0
2025-06-17 21:44:59,87,ESTONIAN_SOLAR2,0.0
2025-06-17 21:59:59,88,ESTONIAN_SOLAR2,0.0
2025-06-17 22:14:59,89,ESTONIAN_SOLAR2,0.0008229999
2025-06-17 22:29:59,90,ESTONIAN_SOLAR2,0.0
2025-06-17 22:44:59,91,ESTONIAN_SOLAR2,0.0
2025-06-17 22:59:59,92,ESTONIAN_SOLAR2,0.0
2025-06-17 23:14:59,93,ESTONIAN_SOLAR2,0.0
2025-06-17 23:29:59,94,ESTONIAN_SOLAR2,0.0
2025-06-17 23:44:59,95,ESTONIAN_SOLAR2,0.0
2025-06-17 23:59:59,96,ESTONIAN_SOLAR2,0.0
2025-06-18 00:14:59,1,ESTONIAN_SOLAR2,0.0
2025-06-18 00:29:59,2,ESTONIAN_SOLAR2,0.0
2025-06-18 00:44:59,3,ESTONIAN_SOLAR2,0.0
2025-06-18 00:59:59,4,ESTONIAN_SOLAR2,0.0
2025-06-18 01:14:59,5,ESTONIAN_SOLAR2,0.0
2025-06-18 01:29:59,6,ESTONIAN_SOLAR2,0.0
2025-06-18 01:44:59,7,ESTONIAN_SOLAR2,0.0
2025-06-18 01:59:59,8,ESTONIAN_SOLAR2,0.0
2025-06-18 02:14:59,9,ESTONIAN_SOLAR2,0.0
2025-06-18 02:29:59,10,ESTONIAN_SOLAR2,0.0
2025-06-18 02:44:59,11,ESTONIAN_SOLAR2,0.0
2025-06-18 02:59:59,12,ESTONIAN_SOLAR2,0.0
2025-06-18 03:14:59,13,ESTONIAN_SOLAR2,0.0
2025-06-18 03:29:59,14,ESTONIAN_SOLAR2,0.0
2025-06-18 03:44:59,15,ESTONIAN_SOLAR2,0.0
2025-06-18 03:59:59,16,ESTONIAN_SOLAR2,0.0
2025-06-18 04:14:59,17,ESTONIAN_SOLAR2,0.0
2025-06-18 04:29:59,18,ESTONIAN_SOLAR2,0.0
2025-06-18 04:44:59,19,ESTONIAN_SOLAR2,0.0
2025-06-18 04:59:59,20,ESTONIAN_SOLAR2,0.0
2025-06-18 05:14:59,21,ESTONIAN_SOLAR2,0.0
2025-06-18 05:29:59,22,ESTONIAN_SOLAR2,0.0
2025-06-18 05:44:59,23,ESTONIAN_SOLAR2,0.0
2025-06-18 05:59:59,24,ESTONIAN_SOLAR2,0.0
2025-06-18 06:14:59,25,ESTONIAN_SOLAR2,0.00183
2025-06-18 06:29:59,26,ESTONIAN_SOLAR2,0.0
2025-06-18 06:44:59,27,ESTONIAN_SOLAR2,0.0
2025-06-18 06:59:59,28,ESTONIAN_SOLAR2,0.553687
2025-06-18 07:14:59,29,ESTONIAN_SOLAR2,1.316915
2025-06-18 07:29:59,30,ESTONIAN_SOLAR2,3.521526
2025-06-18 07:44:59,31,ESTONIAN_SOLAR2,5.0391199999
2025-06-18 07:59:59,32,ESTONIAN_SOLAR2,2.0876779999
2025-06-18 08:14:59,33,ESTONIAN_SOLAR2,0.834245
2025-06-18 08:29:59,34,ESTONIAN_SOLAR2,0.6949689999
2025-06-18 08:44:59,35,ESTONIAN_SOLAR2,2.1625169999
2025-06-18 08:59:59,36,ESTONIAN_SOLAR2,2.801397
2025-06-18 09:14:59,37,ESTONIAN_SOLAR2,5.332529
2025-06-18 09:29:59,38,ESTONIAN_SOLAR2,5.1453569999
2025-06-18 09:44:59,39,ESTONIAN_SOLAR2,6.8908849999
2025-06-18 09:59:59,40,ESTONIAN_SOLAR2,12.332096
2025-06-18 10:14:59,41,ESTONIAN_SOLAR2,10.428806
2025-06-18 10:29:59,42,ESTONIAN_SOLAR2,8.330495
2025-06-18 10:44:59,43,ESTONIAN_SOLAR2,5.543738
2025-06-18 10:59:59,44,ESTONIAN_SOLAR2,9.0571999999
2025-06-18 11:14:59,45,ESTONIAN_SOLAR2,7.8782829999
2025-06-18 11:29:59,46,ESTONIAN_SOLAR2,16.6577389999
2025-06-18 11:44:59,47,ESTONIAN_SOLAR2,27.979032
2025-06-18 11:59:59,48,ESTONIAN_SOLAR2,22.3114759999
2025-06-18 12:14:59,49,ESTONIAN_SOLAR2,15.419074
2025-06-18 12:29:59,50,ESTONIAN_SOLAR2,23.325057
2025-06-18 12:44:59,51,ESTONIAN_SOLAR2,24.139378
2025-06-18 12:59:59,52,ESTONIAN_SOLAR2,14.969607
2025-06-18 13:14:59,53,ESTONIAN_SOLAR2,25.87045
2025-06-18 13:29:59,54,ESTONIAN_SOLAR2,28.278917
2025-06-18 13:44:59,55,ESTONIAN_SOLAR2,28.530642
2025-06-18 13:59:59,56,ESTONIAN_SOLAR2,28.420393
2025-06-18 14:14:59,57,ESTONIAN_SOLAR2,22.3514109999
2025-06-18 14:29:59,58,ESTONIAN_SOLAR2,28.4147709999
2025-06-18 14:44:59,59,ESTONIAN_SOLAR2,28.440059
2025-06-18 14:59:59,60,ESTONIAN_SOLAR2,25.762981
2025-06-18 15:14:59,61,ESTONIAN_SOLAR2,22.2780829999
2025-06-18 15:29:59,62,ESTONIAN_SOLAR2,24.584211
2025-06-18 15:44:59,63,ESTONIAN_SOLAR2,27.9504869999
2025-06-18 15:59:59,64,ESTONIAN_SOLAR2,27.2078969999
2025-06-18 16:14:59,65,ESTONIAN_SOLAR2,28.266385
2025-06-18 16:29:59,66,ESTONIAN_SOLAR2,28.469168
2025-06-18 16:44:59,67,ESTONIAN_SOLAR2,28.425964
2025-06-18 16:59:59,68,ESTONIAN_SOLAR2,27.9062489999
2025-06-18 17:14:59,69,ESTONIAN_SOLAR2,27.187885
2025-06-18 17:29:59,70,ESTONIAN_SOLAR2,26.4556919999
2025-06-18 17:44:59,71,ESTONIAN_SOLAR2,25.3391069999
2025-06-18 17:59:59,72,ESTONIAN_SOLAR2,24.0704959999
2025-06-18 18:14:59,73,ESTONIAN_SOLAR2,22.3302389999
2025-06-18 18:29:59,74,ESTONIAN_SOLAR2,20.3786829999
2025-06-18 18:44:59,75,ESTONIAN_SOLAR2,18.068704
2025-06-18 18:59:59,76,ESTONIAN_SOLAR2,14.954827
2025-06-18 19:14:59,77,ESTONIAN_SOLAR2,11.53068
2025-06-18 19:29:59,78,ESTONIAN_SOLAR2,8.147667
2025-06-18 19:44:59,79,ESTONIAN_SOLAR2,5.0093449999
2025-06-18 19:59:59,80,ESTONIAN_SOLAR2,2.5964809999
2025-06-18 20:14:59,81,ESTONIAN_SOLAR2,0.941791
2025-06-18 20:29:59,82,ESTONIAN_SOLAR2,0.2133029999
2025-06-18 20:44:59,83,ESTONIAN_SOLAR2,0.0019889999
2025-06-18 20:59:59,84,ESTONIAN_SOLAR2,0.0
2025-06-18 21:14:59,85,ESTONIAN_SOLAR2,0.0
2025-06-18 21:29:59,86,ESTONIAN_SOLAR2,0.0
2025-06-18 21:44:59,87,ESTONIAN_SOLAR2,0.0
2025-06-18 21:59:59,88,ESTONIAN_SOLAR2,0.0
2025-06-18 22:14:59,89,ESTONIAN_SOLAR2,0.0
2025-06-18 22:29:59,90,ESTONIAN_SOLAR2,0.0
2025-06-18 22:44:59,91,ESTONIAN_SOLAR2,0.0
2025-06-18 22:59:59,92,ESTONIAN_SOLAR2,0.0
2025-06-18 23:14:59,93,ESTONIAN_SOLAR2,0.0
2025-06-18 23:29:59,94,ESTONIAN_SOLAR2,0.0
2025-06-18 23:44:59,95,ESTONIAN_SOLAR2,0.0
2025-06-18 23:59:59,96,ESTONIAN_SOLAR2,0.0
2025-06-19 00:14:59,1,ESTONIAN_SOLAR2,0.0
2025-06-19 00:29:59,2,ESTONIAN_SOLAR2,0.0
2025-06-19 00:44:59,3,ESTONIAN_SOLAR2,0.0
2025-06-19 00:59:59,4,ESTONIAN_SOLAR2,0.0
2025-06-19 01:14:59,5,ESTONIAN_SOLAR2,0.0
2025-06-19 01:29:59,6,ESTONIAN_SOLAR2,0.0
2025-06-19 01:44:59,7,ESTONIAN_SOLAR2,0.0
2025-06-19 01:59:59,8,ESTONIAN_SOLAR2,0.0
2025-06-19 02:14:59,9,ESTONIAN_SOLAR2,0.0
2025-06-19 02:29:59,10,ESTONIAN_SOLAR2,0.0
2025-06-19 02:44:59,11,ESTONIAN_SOLAR2,0.0
2025-06-19 02:59:59,12,ESTONIAN_SOLAR2,0.0
2025-06-19 03:14:59,13,ESTONIAN_SOLAR2,0.0
2025-06-19 03:29:59,14,ESTONIAN_SOLAR2,0.0
2025-06-19 03:44:59,15,ESTONIAN_SOLAR2,0.0
2025-06-19 03:59:59,16,ESTONIAN_SOLAR2,0.0
2025-06-19 04:14:59,17,ESTONIAN_SOLAR2,0.0
2025-06-19 04:29:59,18,ESTONIAN_SOLAR2,0.0
2025-06-19 04:44:59,19,ESTONIAN_SOLAR2,0.0
2025-06-19 04:59:59,20,ESTONIAN_SOLAR2,0.0
2025-06-19 05:14:59,21,ESTONIAN_SOLAR2,0.0
2025-06-19 05:29:59,22,ESTONIAN_SOLAR2,0.0
2025-06-19 05:44:59,23,ESTONIAN_SOLAR2,0.0
2025-06-19 05:59:59,24,ESTONIAN_SOLAR2,0.0
2025-06-19 06:14:59,25,ESTONIAN_SOLAR2,0.0
2025-06-19 06:29:59,26,ESTONIAN_SOLAR2,0.0
2025-06-19 06:44:59,27,ESTONIAN_SOLAR2,0.3929309999
2025-06-19 06:59:59,28,ESTONIAN_SOLAR2,2.377937
2025-06-19 07:14:59,29,ESTONIAN_SOLAR2,4.4702029999
2025-06-19 07:29:59,30,ESTONIAN_SOLAR2,8.1466999999
2025-06-19 07:44:59,31,ESTONIAN_SOLAR2,11.670581
2025-06-19 07:59:59,32,ESTONIAN_SOLAR2,15.405868
2025-06-19 08:14:59,33,ESTONIAN_SOLAR2,18.547557
2025-06-19 08:29:59,34,ESTONIAN_SOLAR2,21.009929
2025-06-19 08:44:59,35,ESTONIAN_SOLAR2,22.43392
2025-06-19 08:59:59,36,ESTONIAN_SOLAR2,22.0752099999
2025-06-19 09:14:59,37,ESTONIAN_SOLAR2,23.78764
2025-06-19 09:29:59,38,ESTONIAN_SOLAR2,24.767477
2025-06-19 09:44:59,39,ESTONIAN_SOLAR2,24.9829599999
2025-06-19 09:59:59,40,ESTONIAN_SOLAR2,22.844369
2025-06-19 10:14:59,41,ESTONIAN_SOLAR2,22.5531989999
2025-06-19 10:29:59,42,ESTONIAN_SOLAR2,24.924845
2025-06-19 10:44:59,43,ESTONIAN_SOLAR2,25.440328
2025-06-19 10:59:59,44,ESTONIAN_SOLAR2,24.926423
2025-06-19 11:14:59,45,ESTONIAN_SOLAR2,23.429005
2025-06-19 11:29:59,46,ESTONIAN_SOLAR2,23.1932399999
2025-06-19 11:44:59,47,ESTONIAN_SOLAR2,20.860671
2025-06-19 11:59:59,48,ESTONIAN_SOLAR2,22.050744
2025-06-19 12:14:59,49,ESTONIAN_SOLAR2,22.3973669999
2025-06-19 12:29:59,50,ESTONIAN_SOLAR2,22.589644
2025-06-19 12:44:59,51,ESTONIAN_SOLAR2,25.923573
2025-06-19 12:59:59,52,ESTONIAN_SOLAR2,22.5917759999
2025-06-19 13:14:59,53,ESTONIAN_SOLAR2,24.817215
2025-06-19 13:29:59,54,ESTONIAN_SOLAR2,22.7386249999
2025-06-19 13:44:59,55,ESTONIAN_SOLAR2,29.272376
2025-06-19 13:59:59,56,ESTONIAN_SOLAR2,27.230262
2025-06-19 14:14:59,57,ESTONIAN_SOLAR2,26.5271189999
2025-06-19 14:29:59,58,ESTONIAN_SOLAR2,27.061786
2025-06-19 14:44:59,59,ESTONIAN_SOLAR2,24.762349
2025-06-19 14:59:59,60,ESTONIAN_SOLAR2,24.0128619999
2025-06-19 15:14:59,61,ESTONIAN_SOLAR2,27.371752
2025-06-19 15:29:59,62,ESTONIAN_SOLAR2,21.468605
2025-06-19 15:44:59,63,ESTONIAN_SOLAR2,26.994741
2025-06-19 15:59:59,64,ESTONIAN_SOLAR2,26.532577
2025-06-19 16:14:59,65,ESTONIAN_SOLAR2,25.3340199999
2025-06-19 16:29:59,66,ESTONIAN_SOLAR2,27.6123289999
2025-06-19 16:44:59,67,ESTONIAN_SOLAR2,27.951777
2025-06-19 16:59:59,68,ESTONIAN_SOLAR2,27.409537
2025-06-19 17:14:59,69,ESTONIAN_SOLAR2,22.1014729999
2025-06-19 17:29:59,70,ESTONIAN_SOLAR2,26.14581
2025-06-19 17:44:59,71,ESTONIAN_SOLAR2,24.8995159999
2025-06-19 17:59:59,72,ESTONIAN_SOLAR2,24.2646799999
2025-06-19 18:14:59,73,ESTONIAN_SOLAR2,22.758744
2025-06-19 18:29:59,74,ESTONIAN_SOLAR2,20.5732019999
2025-06-19 18:44:59,75,ESTONIAN_SOLAR2,18.866561
2025-06-19 18:59:59,76,ESTONIAN_SOLAR2,15.618047
2025-06-19 19:14:59,77,ESTONIAN_SOLAR2,12.052977
2025-06-19 19:29:59,78,ESTONIAN_SOLAR2,8.578955
2025-06-19 19:44:59,79,ESTONIAN_SOLAR2,5.3533099999
2025-06-19 19:59:59,80,ESTONIAN_SOLAR2,2.781072
2025-06-19 20:14:59,81,ESTONIAN_SOLAR2,1.1023529999
2025-06-19 20:29:59,82,ESTONIAN_SOLAR2,0.2966869999
2025-06-19 20:44:59,83,ESTONIAN_SOLAR2,0.012988
2025-06-19 20:59:59,84,ESTONIAN_SOLAR2,0.0
2025-06-19 21:14:59,85,ESTONIAN_SOLAR2,0.0
2025-06-19 21:29:59,86,ESTONIAN_SOLAR2,0.0
2025-06-19 21:44:59,87,ESTONIAN_SOLAR2,0.0
2025-06-19 21:59:59,88,ESTONIAN_SOLAR2,0.0
2025-06-19 22:14:59,89,ESTONIAN_SOLAR2,0.0
2025-06-19 22:29:59,90,ESTONIAN_SOLAR2,0.0
2025-06-19 22:44:59,91,ESTONIAN_SOLAR2,0.0
2025-06-19 22:59:59,92,ESTONIAN_SOLAR2,0.0
2025-06-19 23:14:59,93,ESTONIAN_SOLAR2,0.0
2025-06-19 23:29:59,94,ESTONIAN_SOLAR2,0.0
2025-06-19 23:44:59,95,ESTONIAN_SOLAR2,0.0
2025-06-19 23:59:59,96,ESTONIAN_SOLAR2,0.0
2025-06-20 00:14:59,1,ESTONIAN_SOLAR2,0.0
2025-06-20 00:29:59,2,ESTONIAN_SOLAR2,0.0
2025-06-20 00:44:59,3,ESTONIAN_SOLAR2,0.0
2025-06-20 00:59:59,4,ESTONIAN_SOLAR2,0.0
2025-06-20 01:14:59,5,ESTONIAN_SOLAR2,0.0
2025-06-20 01:29:59,6,ESTONIAN_SOLAR2,0.0
2025-06-20 01:44:59,7,ESTONIAN_SOLAR2,0.0
2025-06-20 01:59:59,8,ESTONIAN_SOLAR2,0.0
2025-06-20 02:14:59,9,ESTONIAN_SOLAR2,0.0
2025-06-20 02:29:59,10,ESTONIAN_SOLAR2,0.0
2025-06-20 02:44:59,11,ESTONIAN_SOLAR2,0.0
2025-06-20 02:59:59,12,ESTONIAN_SOLAR2,0.0
2025-06-20 03:14:59,13,ESTONIAN_SOLAR2,0.0
2025-06-20 03:29:59,14,ESTONIAN_SOLAR2,0.0
2025-06-20 03:44:59,15,ESTONIAN_SOLAR2,0.0
2025-06-20 03:59:59,16,ESTONIAN_SOLAR2,0.0
2025-06-20 04:14:59,17,ESTONIAN_SOLAR2,0.0
2025-06-20 04:29:59,18,ESTONIAN_SOLAR2,0.0
2025-06-20 04:44:59,19,ESTONIAN_SOLAR2,0.0
2025-06-20 04:59:59,20,ESTONIAN_SOLAR2,0.0
2025-06-20 05:14:59,21,ESTONIAN_SOLAR2,0.0
2025-06-20 05:29:59,22,ESTONIAN_SOLAR2,0.0
2025-06-20 05:44:59,23,ESTONIAN_SOLAR2,0.0
2025-06-20 05:59:59,24,ESTONIAN_SOLAR2,0.0
2025-06-20 06:14:59,25,ESTONIAN_SOLAR2,0.0
2025-06-20 06:29:59,26,ESTONIAN_SOLAR2,0.0
2025-06-20 06:44:59,27,ESTONIAN_SOLAR2,0.094862
2025-06-20 06:59:59,28,ESTONIAN_SOLAR2,2.0862479999
2025-06-20 07:14:59,29,ESTONIAN_SOLAR2,4.5907859999
2025-06-20 07:29:59,30,ESTONIAN_SOLAR2,7.6687909999
2025-06-20 07:44:59,31,ESTONIAN_SOLAR2,10.85473
2025-06-20 07:59:59,32,ESTONIAN_SOLAR2,13.68196
2025-06-20 08:14:59,33,ESTONIAN_SOLAR2,16.8627989999
2025-06-20 08:29:59,34,ESTONIAN_SOLAR2,19.1950049999
2025-06-20 08:44:59,35,ESTONIAN_SOLAR2,21.856615
2025-06-20 08:59:59,36,ESTONIAN_SOLAR2,23.187897
2025-06-20 09:14:59,37,ESTONIAN_SOLAR2,22.0545739999
2025-06-20 09:29:59,38,ESTONIAN_SOLAR2,23.434035
2025-06-20 09:44:59,39,ESTONIAN_SOLAR2,24.749645
2025-06-20 09:59:59,40,ESTONIAN_SOLAR2,26.362155
2025-06-20 10:14:59,41,ESTONIAN_SOLAR2,25.257348
2025-06-20 10:29:59,42,ESTONIAN_SOLAR2,24.770776
2025-06-20 10:44:59,43,ESTONIAN_SOLAR2,26.207162
2025-06-20 10:59:59,44,ESTONIAN_SOLAR2,25.4917149999
2025-06-20 11:14:59,45,ESTONIAN_SOLAR2,26.281876
2025-06-20 11:29:59,46,ESTONIAN_SOLAR2,26.7308139999
2025-06-20 11:44:59,47,ESTONIAN_SOLAR2,22.858246
2025-06-20 11:59:59,48,ESTONIAN_SOLAR2,26.278027
2025-06-20 12:14:59,49,ESTONIAN_SOLAR2,25.746682
2025-06-20 12:29:59,50,ESTONIAN_SOLAR2,27.4372989999
2025-06-20 12:44:59,51,ESTONIAN_SOLAR2,26.90709
2025-06-20 12:59:59,52,ESTONIAN_SOLAR2,25.507079
2025-06-20 13:14:59,53,ESTONIAN_SOLAR2,27.7738289999
2025-06-20 13:29:59,54,ESTONIAN_SOLAR2,27.089756
2025-06-20 13:44:59,55,ESTONIAN_SOLAR2,26.104893
2025-06-20 13:59:59,56,ESTONIAN_SOLAR2,25.030836
2025-06-20 14:14:59,57,ESTONIAN_SOLAR2,25.574241
2025-06-20 14:29:59,58,ESTONIAN_SOLAR2,24.2326939999
2025-06-20 14:44:59,59,ESTONIAN_SOLAR2,25.6313679999
2025-06-20 14:59:59,60,ESTONIAN_SOLAR2,26.594366
2025-06-20 15:14:59,61,ESTONIAN_SOLAR2,24.0282729999
2025-06-20 15:29:59,62,ESTONIAN_SOLAR2,19.3893969999
2025-06-20 15:44:59,63,ESTONIAN_SOLAR2,24.124053
2025-06-20 15:59:59,64,ESTONIAN_SOLAR2,26.2461489999
2025-06-20 16:14:59,65,ESTONIAN_SOLAR2,25.1191309999
2025-06-20 16:29:59,66,ESTONIAN_SOLAR2,27.2333649999
2025-06-20 16:44:59,67,ESTONIAN_SOLAR2,28.0729529999
2025-06-20 16:59:59,68,ESTONIAN_SOLAR2,28.077517
2025-06-20 17:14:59,69,ESTONIAN_SOLAR2,26.0244919999
2025-06-20 17:29:59,70,ESTONIAN_SOLAR2,26.714061
2025-06-20 17:44:59,71,ESTONIAN_SOLAR2,25.67789
2025-06-20 17:59:59,72,ESTONIAN_SOLAR2,24.6199079999
2025-06-20 18:14:59,73,ESTONIAN_SOLAR2,22.910049
2025-06-20 18:29:59,74,ESTONIAN_SOLAR2,21.327575
2025-06-20 18:44:59,75,ESTONIAN_SOLAR2,18.9355769999
2025-06-20 18:59:59,76,ESTONIAN_SOLAR2,15.880182
2025-06-20 19:14:59,77,ESTONIAN_SOLAR2,12.509477
2025-06-20 19:29:59,78,ESTONIAN_SOLAR2,8.973983
2025-06-20 19:44:59,79,ESTONIAN_SOLAR2,5.6988209999
2025-06-20 19:59:59,80,ESTONIAN_SOLAR2,2.997589
2025-06-20 20:14:59,81,ESTONIAN_SOLAR2,1.210325
2025-06-20 20:29:59,82,ESTONIAN_SOLAR2,0.3468379999
2025-06-20 20:44:59,83,ESTONIAN_SOLAR2,0.015062
2025-06-20 20:59:59,84,ESTONIAN_SOLAR2,0.0
2025-06-20 21:14:59,85,ESTONIAN_SOLAR2,0.0
2025-06-20 21:29:59,86,ESTONIAN_SOLAR2,0.0
2025-06-20 21:44:59,87,ESTONIAN_SOLAR2,0.0
2025-06-20 21:59:59,88,ESTONIAN_SOLAR2,0.0
2025-06-20 22:14:59,89,ESTONIAN_SOLAR2,0.0
2025-06-20 22:29:59,90,ESTONIAN_SOLAR2,0.0
2025-06-20 22:44:59,91,ESTONIAN_SOLAR2,0.0
2025-06-20 22:59:59,92,ESTONIAN_SOLAR2,0.0
2025-06-20 23:14:59,93,ESTONIAN_SOLAR2,0.000528
2025-06-20 23:29:59,94,ESTONIAN_SOLAR2,0.0
2025-06-20 23:44:59,95,ESTONIAN_SOLAR2,0.000541
2025-06-20 23:59:59,96,ESTONIAN_SOLAR2,0.0
2025-06-21 00:14:59,1,ESTONIAN_SOLAR2,0.0
2025-06-21 00:29:59,2,ESTONIAN_SOLAR2,0.0
2025-06-21 00:44:59,3,ESTONIAN_SOLAR2,0.0
2025-06-21 00:59:59,4,ESTONIAN_SOLAR2,0.0
2025-06-21 01:14:59,5,ESTONIAN_SOLAR2,0.0
2025-06-21 01:29:59,6,ESTONIAN_SOLAR2,0.0
2025-06-21 01:44:59,7,ESTONIAN_SOLAR2,0.0
2025-06-21 01:59:59,8,ESTONIAN_SOLAR2,0.0
2025-06-21 02:14:59,9,ESTONIAN_SOLAR2,0.0
2025-06-21 02:29:59,10,ESTONIAN_SOLAR2,0.0
2025-06-21 02:44:59,11,ESTONIAN_SOLAR2,0.0
2025-06-21 02:59:59,12,ESTONIAN_SOLAR2,0.0
2025-06-21 03:14:59,13,ESTONIAN_SOLAR2,0.0
2025-06-21 03:29:59,14,ESTONIAN_SOLAR2,0.0
